"Data";"Saldo de crédito ampliado - Total";"Saldo de empréstimos total ao setor não financeiro";"Saldo de empréstimos do SFN ao setor não financeiro";"Saldo de empréstimos de OSF ao setor não financeiro";"Saldo de empréstimos de fundos governamentais ao setor não financeiro";"Saldo de títulos de dívida - Total";"Saldo de títulos públicos";"Saldo de títulos privados";"Saldo de instrumentos de securitização";"Saldo de dívida externa - Total";"Saldo de dívida externa - Empréstimos";"Saldo de dívida externa - Títulos emitidos no mercado externo";"Saldo de dívida externa - Títulos emitidos no mercado doméstico"
2013-01-01;5230445;2475190;2366165;52768;56257;1908848;1606823;206580;95444;846408;436258;175230;234920
2013-02-01;5279003;2493142;2383597;52785;56760;1931530;1630719;206604;94207;854331;445316;171579;237436
2013-03-01;5348328;2538453;2427062;53818;57573;1917979;1615380;207371;95227;891897;476721;174676;240500
2013-04-01;5361235;2561344;2449147;53848;58350;1924358;1612379;211565;100414;875533;465895;166147;243491
2013-05-01;5475868;2600925;2487294;54438;59194;1919793;1599560;213350;106883;955149;532182;177067;245899
2013-06-01;5623674;2648361;2531576;56217;60567;1967698;1636849;217620;113228;1007617;559374;185515;262728
2013-07-01;5634753;2662821;2545127;56577;61117;1925085;1593493;219602;111991;1046846;584771;185541;276534
2013-08-01;5730941;2696710;2577874;56826;62010;1941794;1609952;222852;108989;1092437;605254;195450;291733
2013-09-01;5710192;2717145;2597168;57424;62552;1923699;1591369;225193;107138;1069348;571166;186300;311882
2013-10-01;5759906;2724455;2604241;56880;63334;1964362;1625582;226831;111948;1071089;572485;184268;314337
2013-11-01;5898315;2768556;2646873;57444;64239;2008860;1665352;228536;114972;1120899;615935;191642;313321
2013-12-01;6043593;2835028;2711371;58002;65655;2070288;1719565;232119;118604;1138276;634551;188893;314832
2014-01-01;6017832;2837747;2713271;58232;66245;1984882;1632784;234864;117234;1195202;669202;202332;323669
2014-02-01;6030844;2850816;2725652;58039;67126;2003031;1648011;239134;115886;1176996;655390;188190;333417
2014-03-01;6061274;2879886;2752289;59175;68422;2005303;1645701;240565;119036;1176086;643240;181935;350911
2014-04-01;6061472;2900188;2771347;59177;69665;1969145;1608247;244217;116681;1192138;647755;186044;358339
2014-05-01;6170401;2927502;2798015;59490;69997;2038475;1677371;246789;114315;1204424;658548;186487;359388
2014-06-01;6278105;2957563;2824626;61342;71594;2108521;1745883;249586;113052;1212022;654933;184841;372248
2014-07-01;6289081;2965350;2830844;61638;72868;2079218;1713948;251412;113859;1244512;685815;183820;374877
2014-08-01;6321005;2994232;2857674;61452;75106;2065137;1699425;249706;116007;1261635;688800;186583;386252
2014-09-01;6447124;3036039;2896570;63635;75833;2056087;1692244;247786;116057;1354999;752226;205475;397298
2014-10-01;6464102;3060802;2919447;63664;77691;2018725;1648299;252700;117727;1384575;766258;205174;413143
2014-11-01;6604825;3099339;2956599;64378;78362;2067991;1694168;256092;117730;1437496;806277;214366;416853
2014-12-01;6803755;3163548;3017456;66250;79842;2179066;1791877;264643;122546;1461142;839169;219064;402910
2015-01-01;6773658;3168377;3021469;66168;80740;2105681;1719506;264148;122027;1499600;853241;216541;429818
2015-02-01;6951145;3181368;3033503;66758;81107;2175291;1781016;262101;132174;1594487;920597;230131;443759
2015-03-01;7207122;3221651;3070618;69708;81325;2254042;1864846;267035;122161;1731429;1021644;246752;463034
