"Data";"Saldo de crédito ampliado a empresas e famílias - Total";"Saldo de empréstimos a empresas e famílias - Total";"Saldo de empréstimos do SFN a empresas e famílias";"Saldo de empréstimos de OSF a empresas e famílias";"Saldo de empréstimos de fundos governamentais a empresas e famílias";"Saldo de títulos de dívida emitidos por empresas e famílias - Total";"Saldo de títulos privados emitidos por empresas e famílias";"Saldo de instrumentos de securitização - devedores empresas e famílias";"Saldo de dívida externa - Concedido a empresas e famílias - Total";"Saldo de dívida externa - Empréstimos a empresas e famílias";"Saldo de dívida externa - Títulos privados emitidos no mercado externo";"Saldo de dívida externa - Títulos privados emitidos no mercado doméstico"
2013-01-01;3194546;2425330;2316305;52768;56257;302024;206580;95444;467192;386253;76964;3975
2013-02-01;3214890;2443464;2333918;52785;56760;300811;206604;94207;470616;392436;74120;4060
2013-03-01;3293888;2488125;2376734;53818;57573;302598;207371;95227;503164;423118;75990;4056
2013-04-01;3315706;2510040;2397843;53848;58350;311979;211565;100414;493686;412289;77316;4081
2013-05-01;3428332;2546514;2432883;54438;59194;320234;213350;106883;561584;475114;81616;4854
2013-06-01;3521657;2591894;2475109;56217;60567;330848;217620;113228;598916;505241;88761;4914
2013-07-01;3556347;2604921;2487227;56577;61117;331592;219602;111991;619834;526692;87421;5721
2013-08-01;3611835;2636422;2517585;56826;62010;331841;222852;108989;643572;543343;94379;5850
2013-09-01;3594926;2653459;2533483;57424;62552;332330;225193;107138;609136;512937;90460;5739
2013-10-01;3612901;2659181;2538966;56880;63334;338780;226831;111948;614941;514360;94324;6256
2013-11-01;3699137;2701506;2579822;57444;64239;343507;228536;114972;654124;554379;93294;6451
2013-12-01;3785191;2763568;2639911;58002;65655;350723;232119;118604;670900;568409;96220;6271
2014-01-01;3822323;2764440;2639963;58232;66245;352098;234864;117234;705786;600384;98985;6416
2014-02-01;3823661;2777167;2652003;58039;67126;355020;239134;115886;691473;589072;95791;6610
2014-03-01;3838456;2801620;2674023;59175;68422;359602;240565;119036;677235;578841;91888;6507
2014-04-01;3861807;2818857;2690015;59177;69665;360898;244217;116681;682052;584072;91055;6925
2014-05-01;3899338;2845477;2715990;59490;69997;361104;246789;114315;692758;594147;91551;7059
2014-06-01;3922116;2874131;2741194;61342;71594;362638;249586;113052;685347;587225;91237;6884
2014-07-01;3964161;2878149;2743642;61638;72868;365270;251412;113859;720742;620511;93380;6851
2014-08-01;3993827;2906061;2769503;61452;75106;365713;249706;116007;722053;619027;92464;10563
2014-09-01;4094556;2943704;2804235;63635;75833;363843;247786;116057;787010;675035;101453;10522
